long,lat,name,cbg,cb,down_stream,up_stream
-121.77037044624922,38.55029749392466,['P10-039-1'],061130105122,061130105122004,"[(-121.77035830490932, 38.551320832851694)]",[]
-121.77145246896174,38.55180342371636,['P10-029-1'],061130105122,061130105122003,"[(-121.7717727542879, 38.552727808318764)]","[(-121.77137503359556, 38.55058075143084)]"
-121.77177702360639,38.55286567076105,['P10-018-1'],061130105122,061130105122000,"[(-121.77305080607188, 38.55287896434191)]","[(-121.77179734902988, 38.553516267817), (-121.77080759461, 38.55298737971001), (-121.7717727542879, 38.552727808318764)]"
-121.7717727542879,38.552727808318764,['P10-019-1'],061130105122,061130105122004,"[(-121.77177702360639, 38.55286567076105)]","[(-121.77145246896174, 38.55180342371636)]"
-121.79313625749009,38.54740664847193,['P08-066-1'],061130105082,061130105082007,"[(-121.79238438865754, 38.54739264474637)]","[(-121.79383597716286, 38.54742007113814)]"
-121.79238438865754,38.54739264474637,['P08-067-1'],061130105082,061130105082007,"[(-121.79122223430475, 38.54736916193056)]","[(-121.79249946552193, 38.54781414822178), (-121.79313625749009, 38.54740664847193)]"
-121.79122223430475,38.54736916193056,['P08-068-1'],061130105082,061130105082007,"[(-121.7901051090566, 38.54735288710061)]","[(-121.79238438865754, 38.54739264474637)]"
-121.79012193982811,38.54808050652308,['P08-064-1'],061130105082,061130105082009,"[(-121.79017664712755, 38.54882986940778)]","[(-121.79114182941812, 38.54819174440413), (-121.7901051090566, 38.54735288710061)]"
-121.7901051090566,38.54735288710061,['P08-069-1'],061130105082,061130105082007,"[(-121.79012193982811, 38.54808050652308)]","[(-121.79122223430475, 38.54736916193056)]"
-121.79342397708122,38.549134555218124,['P08-048-1'],061130105082,061130105082007,"[(-121.7934536226247, 38.54987298972902)]","[(-121.79300062320227, 38.54841125823347)]"
-121.79087932096924,38.54899899701951,['P08-054-1'],061130105082,061130105082005,"[(-121.79017664712755, 38.54882986940778)]","[(-121.79135799432501, 38.549397248149326)]"
-121.79300062320227,38.54841125823347,['P08-050-1'],061130105082,061130105082008,"[(-121.79342397708122, 38.549134555218124)]","[(-121.79346521441927, 38.548166855843334)]"
-121.79249946552193,38.54781414822178,['P08-062-1'],061130105082,061130105082007,"[(-121.79238438865754, 38.54739264474637)]","[(-121.79272638898593, 38.54808227084982)]"
-121.79346521441927,38.548166855843334,['P08-049-1'],061130105082,061130105082007,"[(-121.79300062320227, 38.54841125823347)]",[]
